Feature,Coefficient,Importance
categorical__InternetService_Fiber optic,0.8843978700409241,0.8843978700409241
categorical__Contract_Month-to-month,0.7122887932869961,0.7122887932869961
categorical__Contract_Two year,-0.6502895582410648,0.6502895582410648
categorical__InternetService_DSL,-0.5971480896064411,0.5971480896064411
categorical__StreamingMovies_Yes,0.39128602122928097,0.39128602122928097
categorical__StreamingTV_Yes,0.39088434265952554,0.39088434265952554
categorical__PaymentMethod_Electronic check,0.29592074035328136,0.29592074035328136
categorical__OnlineSecurity_No,0.2892223824450273,0.2892223824450273
categorical__TechSupport_No,0.2636652083256704,0.2636652083256704
categorical__MultipleLines_Yes,0.25942581623900496,0.25942581623900496
categorical__PaperlessBilling_Yes,0.22298097689949264,0.22298097689949264
categorical__TechSupport_No internet service,-0.21369858739371797,0.21369858739371797
categorical__StreamingTV_No internet service,-0.21369858739371797,0.21369858739371797
categorical__DeviceProtection_No internet service,-0.21369858739371797,0.21369858739371797
categorical__OnlineBackup_No internet service,-0.21369858739371797,0.21369858739371797
categorical__StreamingMovies_No internet service,-0.21369858739371797,0.21369858739371797
categorical__InternetService_No,-0.21369858739371797,0.21369858739371797
categorical__OnlineSecurity_No internet service,-0.21369858739371797,0.21369858739371797
categorical__DeviceProtection_Yes,0.19071090140269162,0.19071090140269162
categorical__OnlineBackup_No,0.1649383492942874,0.1649383492942874
categorical__MultipleLines_No,-0.16306631075185196,0.16306631075185196
categorical__Dependents_No,0.14994573606612138,0.14994573606612138
categorical__PaperlessBilling_No,-0.1494297831126946,0.1494297831126946
remainder__SeniorCitizen,0.14508446334971428,0.14508446334971428
categorical__OnlineBackup_Yes,0.12231143179294543,0.12231143179294543
categorical__PaymentMethod_Credit card (automatic),-0.1171865506159478,0.1171865506159478
categorical__StreamingMovies_No,-0.10403624036049124,0.10403624036049124
categorical__StreamingTV_No,-0.10363456170354765,0.10363456170354765
categorical__DeviceProtection_No,0.09653887956368076,0.09653887956368076
categorical__PhoneService_Yes,0.09635950539193502,0.09635950539193502
categorical__PaymentMethod_Bank transfer (automatic),-0.08819608690028045,0.08819608690028045
categorical__Dependents_Yes,-0.07639454256032711,0.07639454256032711
remainder__tenure,-0.05229574112507927,0.05229574112507927
categorical__Partner_Yes,0.04796862271728339,0.04796862271728339
categorical__gender_Male,0.04788102109562947,0.04788102109562947
remainder__MonthlyCharges,-0.02770993405390286,0.02770993405390286
categorical__gender_Female,0.025670172467138694,0.025670172467138694
categorical__Partner_No,0.025582570884280217,0.025582570884280217
categorical__TechSupport_Yes,0.023584572741416163,0.023584572741416163
categorical__MultipleLines_No phone service,-0.0228083119628424,0.0228083119628424
categorical__PhoneService_No,-0.0228083119628424,0.0228083119628424
categorical__PaymentMethod_Mailed check,-0.016986909449725487,0.016986909449725487
categorical__Contract_One year,0.011551957862907903,0.011551957862907903
categorical__OnlineSecurity_Yes,-0.001972601371531552,0.001972601371531552
remainder__TotalCharges,0.0002474742466967813,0.0002474742466967813
